Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
20, eco4, 3, 6583, 54.5, 1473.2, 3797.7, 80.7, 10.1, 38.5, 63.9, 5.28, 167.6, 5.8, 24.6, 4.6, 1708.5, 181.9, 403.3, 45.1, 285.4, 46.2, 39.4, 4.6, 33.9, 39.3, 283, 1117, 0.6, 0.1, 7.3, 1.8, 2, 0.5, 1.4, 1.3, 0.2, 0.2, 0.9, 4.6, 9.1, 132.4, 0, -0.3, 0, 0, 1.2, 2.6, -1.5, 0, 27.81, 0.01, 0.05, 58.7, 0.7, 1.5, 0.7, 155.4, 3.7, 0, 
20, eco5, 4, 14637, 18.4, 2018.7, 4242.1, 110.6, 15.9, 47, 73.6, 5.12, 228.6, 5.6, 48.1, 9.6, 1828, 204.9, 475.9, 56.2, 209.3, 31.5, 31.4, 5.1, 33.5, 41.5, 324.5, 1619.2, 1, 0.2, 7.2, 2, 2.1, 0.6, 1, 0.9, 0.2, 0.2, 0.6, 4.9, 11, 191.7, 0, -0.2, 0, 0, 0.7, 3, -1.5, 0, 29.2, 0.02, 0.07, 32.8, 0.3, 2, 0.8, 215.6, 3.69, 0, 
30, eco2, 1, 10, 3.4, 1017.4, 97.7, 1.8, 0.2, 0.5, 0.2, 4.18, 124.1, 0.4, 0.1, 0, 7.4, 0.7, 3.1, 0.4, 21.2, 0.5, 2.9, 0, 0.4, 2.2, 14.7, 1000.1, 0, 0, 0.1, 0, 0, 0, 0.1, 0, 0, 0, 0, 0.3, 0.8, 118.6, 0, 0, 0, 0, 0, 0.2, 0, 0, 31.37, 0.01, 0.22, 0, 0, 0, 0, 124, 3.31, 0, 
30, eco3, 2, 9902, -4.3, 1623.6, 5888, 209.6, 22.5, 97.3, 105.4, 3.87, 182.9, 8.6, 28.3, 4.5, 2720.2, 281.8, 551.3, 59.7, 518.3, 95.7, 79.7, 8.2, 52.3, 48.3, 355.6, 1167.5, 0.8, 0.1, 11.7, 2.6, 2.8, 0.6, 2.6, 2.7, 0.4, 0.4, 1.7, 5.5, 8.6, 138.5, 0.1, -0.6, 0, 0, 2.4, 3.5, -2.6, 0, 28.76, 0.14, 0.32, 123.2, 1.3, 3.7, 2.2, 164.2, 2.28, 0, 
30, eco4, 3, 6583, -52, 1439, 3834.7, 188.4, 20.8, 85.4, 67.6, 3.9, 164.8, 6.1, 23.4, 4.3, 1746, 185.2, 375.8, 41.9, 357.2, 78.4, 54, 7.1, 37.7, 34.4, 247.5, 1119.5, 0.6, 0.1, 7.3, 1.7, 1.9, 0.4, 1.8, 2.2, 0.3, 0.4, 1.3, 3.8, 6.4, 132.8, 0, -0.5, 0, 0, 1.7, 2.4, -1.5, 0, 27.8, 0.05, 0.22, 70.8, 0.7, 3.1, 1.9, 152.8, 2.43, 0, 
30, eco5, 4, 14637, 15.8, 1937.9, 3686.3, 108.3, 16.2, 48.8, 62.4, 3.84, 222, 5.1, 48, 9.6, 1578.3, 182.3, 407.5, 49, 287.5, 50.5, 46, 6.4, 34.3, 32.3, 249.8, 1621.4, 1, 0.2, 6.2, 1.8, 1.8, 0.5, 1.4, 1.4, 0.2, 0.3, 0.9, 3.7, 6.6, 192, 0, -0.3, 0, 0, 1.2, 2.3, -1.6, 0, 29.53, 0.09, 0.48, 51.5, 0.5, 2, 0.8, 210.5, 2.67, 0, 
40, eco2, 1, 10, 0.1, 1008.4, 57.3, 2.7, 0.3, 1, 0.4, 4.08, 123.3, 0.2, 0, 0, 16.1, 1.6, 2.4, 0.3, 20, 0.9, 3, 0.1, 0.5, 1, 6.7, 1000.2, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0.1, 0.3, 118.6, 0, 0, 0, 0, 0, 0.1, 0, 0, 30.37, 0, 0.21, 0, 0, 0, 0, 123.2, 3.24, 0, 
40, eco3, 2, 9902, -20.9, 1602.6, 5566.1, 211.1, 22.8, 86.7, 98.6, 3.72, 179.9, 7.7, 28.3, 4.6, 2537, 262.9, 526, 56.5, 489.9, 82.8, 87.1, 7.3, 48.2, 45.7, 337.8, 1170.9, 0.8, 0.1, 10.5, 2.4, 2.6, 0.6, 2.5, 2.3, 0.4, 0.4, 1.4, 5.1, 8, 139, 0, -0.6, 0, 0, 2, 3.3, -2.5, 0, 28.57, 0.13, 0.31, 126.8, 1.3, 3.7, 1.8, 162.9, 2.22, 0, 
40, eco4, 3, 6583, -24.2, 1419, 3565.4, 144, 16.4, 57.4, 63.1, 3.75, 161.6, 4.9, 23.3, 4.3, 1565.1, 166.4, 358, 39.1, 331.1, 50.8, 58.9, 4.9, 31.8, 31.9, 233.5, 1121.8, 0.5, 0.1, 6.5, 1.5, 1.7, 0.4, 1.7, 1.4, 0.3, 0.2, 0.9, 3.6, 5.8, 133.1, 0, -0.3, 0, 0, 1.2, 2.2, -1.6, 0, 28.72, 0.04, 0.22, 103.7, 1.2, 2.6, 1.2, 150.8, 2.46, 0, 
40, eco5, 4, 14637, -2.1, 1900.1, 3041.9, 103.5, 15.4, 46.5, 51.7, 3.71, 217.7, 3.9, 51.7, 10.3, 1265.8, 151.1, 361.3, 43.7, 288.3, 32, 52.7, 5.1, 27.8, 28.3, 220.7, 1623.3, 1, 0.2, 4.8, 1.5, 1.5, 0.5, 1.4, 0.9, 0.3, 0.2, 0.5, 3.2, 5.5, 192.4, 0, -0.2, 0, 0, 0.7, 2.1, -1.5, 0, 28.39, 0.08, 0.48, 76.8, 0.8, 1.8, 0.8, 208.1, 2.75, 0, 
