Time, Species, ClimateRegion, NumberSitesChecked, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
10, CaryOvat, eco2, 0,NaN,NaN,NaN,NaN
10, CaryOvat, eco3, 5188,0.997,1.000,0.962,0.959
10, CaryOvat, eco4, 2910,0.939,1.000,0.980,0.922
10, CaryOvat, eco5, 9769,0.797,1.000,0.997,0.796
10, CaryAlba, eco2, 0,NaN,NaN,NaN,NaN
10, CaryAlba, eco3, 5195,0.984,1.000,0.962,0.948
10, CaryAlba, eco4, 2892,0.891,1.000,0.979,0.875
10, CaryAlba, eco5, 9736,0.700,1.000,0.997,0.700
10, CornFlor, eco2, 0,NaN,NaN,NaN,NaN
10, CornFlor, eco3, 6842,0.947,1.000,0.976,0.927
10, CornFlor, eco4, 3756,0.831,1.000,0.988,0.825
10, CornFlor, eco5, 11690,0.637,1.000,0.998,0.637
10, FraxPenn, eco2, 0,NaN,NaN,NaN,NaN
10, FraxPenn, eco3, 5204,1.000,1.000,0.937,0.937
10, FraxPenn, eco4, 2910,0.973,1.000,0.962,0.936
10, FraxPenn, eco5, 9735,0.895,1.000,0.995,0.892
10, FraxAmer, eco2, 0,NaN,NaN,NaN,NaN
10, FraxAmer, eco3, 6865,0.991,1.000,0.980,0.972
10, FraxAmer, eco4, 3765,0.936,1.000,0.989,0.927
10, FraxAmer, eco5, 11714,0.820,1.000,0.998,0.820
10, FaguGran, eco2, 0,NaN,NaN,NaN,NaN
10, FaguGran, eco3, 6865,0.999,1.000,0.980,0.979
10, FaguGran, eco4, 3750,0.977,1.000,0.989,0.967
10, FaguGran, eco5, 11719,0.886,1.000,0.998,0.886
10, JuglNigr, eco2, 0,NaN,NaN,NaN,NaN
10, JuglNigr, eco3, 462,0.967,1.000,0.975,0.946
10, JuglNigr, eco4, 259,0.990,1.000,0.985,0.975
10, JuglNigr, eco5, 1118,0.846,1.000,0.996,0.846
10, HaleDipt, eco2, 0,NaN,NaN,NaN,NaN
10, HaleDipt, eco3, 6864,0.857,1.000,0.981,0.847
10, HaleDipt, eco4, 3765,0.726,1.000,0.990,0.725
10, HaleDipt, eco5, 11707,0.540,1.000,0.998,0.540
10, IlexOpac, eco2, 0,NaN,NaN,NaN,NaN
10, IlexOpac, eco3, 6847,0.857,1.000,0.981,0.847
10, IlexOpac, eco4, 3754,0.726,1.000,0.990,0.725
10, IlexOpac, eco5, 11685,0.540,1.000,0.998,0.540
10, LiriTuli, eco2, 0,NaN,NaN,NaN,NaN
10, LiriTuli, eco3, 3147,0.538,1.000,0.975,0.538
10, LiriTuli, eco4, 1782,0.147,1.000,0.987,0.147
10, LiriTuli, eco5, 6644,0.000,1.000,0.998,0.000
10, LiquStyr, eco2, 0,NaN,NaN,NaN,NaN
10, LiquStyr, eco3, 3113,0.742,1.000,0.974,0.737
10, LiquStyr, eco4, 1784,0.470,1.000,0.987,0.470
10, LiquStyr, eco5, 6642,0.076,1.000,0.998,0.076
10, MagnAcum, eco2, 0,NaN,NaN,NaN,NaN
10, MagnAcum, eco3, 5203,0.870,1.000,0.949,0.829
10, MagnAcum, eco4, 2907,0.687,1.000,0.972,0.671
10, MagnAcum, eco5, 9723,0.405,1.000,0.996,0.405
10, MagnMacr, eco2, 0,NaN,NaN,NaN,NaN
10, MagnMacr, eco3, 5238,0.870,1.000,0.949,0.829
10, MagnMacr, eco4, 2916,0.687,1.000,0.971,0.670
10, MagnMacr, eco5, 9720,0.405,1.000,0.996,0.405
10, NyssSylv, eco2, 0,NaN,NaN,NaN,NaN
10, NyssSylv, eco3, 6848,0.857,1.000,0.982,0.847
10, NyssSylv, eco4, 3759,0.726,1.000,0.990,0.725
10, NyssSylv, eco5, 11684,0.540,1.000,0.998,0.540
10, OxydArbo, eco2, 0,NaN,NaN,NaN,NaN
10, OxydArbo, eco3, 6852,0.857,1.000,0.981,0.847
10, OxydArbo, eco4, 3765,0.726,1.000,0.990,0.725
10, OxydArbo, eco5, 11686,0.540,1.000,0.998,0.540
10, PrunSero, eco2, 0,NaN,NaN,NaN,NaN
10, PrunSero, eco3, 3124,0.909,1.000,0.974,0.891
10, PrunSero, eco4, 1805,0.758,1.000,0.987,0.756
10, PrunSero, eco5, 6691,0.517,1.000,0.998,0.517
10, PrunPenn, eco2, 0,NaN,NaN,NaN,NaN
10, PrunPenn, eco3, 478,0.000,1.000,0.924,0.000
10, PrunPenn, eco4, 247,0.000,1.000,0.947,0.000
10, PrunPenn, eco5, 1108,0.005,1.000,0.992,0.005
10, PlanOcid, eco2, 0,NaN,NaN,NaN,NaN
10, PlanOcid, eco3, 3121,0.984,1.000,0.926,0.912
10, PlanOcid, eco4, 1791,0.890,1.000,0.959,0.853
10, PlanOcid, eco5, 6628,0.694,1.000,0.993,0.693
10, QuerAlba, eco2, 0,NaN,NaN,NaN,NaN
10, QuerAlba, eco3, 5202,0.994,1.000,0.981,0.976
10, QuerAlba, eco4, 2900,0.927,1.000,0.990,0.920
10, QuerAlba, eco5, 9742,0.774,1.000,0.998,0.774
10, QuerCocc, eco2, 0,NaN,NaN,NaN,NaN
10, QuerCocc, eco3, 3158,0.980,1.000,0.974,0.956
10, QuerCocc, eco4, 1795,0.977,1.000,0.986,0.964
10, QuerCocc, eco5, 6644,0.788,1.000,0.998,0.788
10, QuerFalc, eco2, 0,NaN,NaN,NaN,NaN
10, QuerFalc, eco3, 5183,0.743,1.000,0.992,0.742
10, QuerFalc, eco4, 2914,0.470,0.998,0.996,0.469
10, QuerFalc, eco5, 9742,0.076,0.003,0.999,0.001
10, QuerRubr, eco2, 0,NaN,NaN,NaN,NaN
10, QuerRubr, eco3, 5210,0.861,1.000,0.969,0.840
10, QuerRubr, eco4, 2914,0.974,1.000,0.984,0.959
10, QuerRubr, eco5, 9745,0.995,1.000,0.998,0.993
10, QuerPrin, eco2, 0,NaN,NaN,NaN,NaN
10, QuerPrin, eco3, 5216,0.815,1.000,0.977,0.805
10, QuerPrin, eco4, 2919,0.991,1.000,0.988,0.979
10, QuerPrin, eco5, 9755,0.931,1.000,0.998,0.930
10, QuerVelu, eco2, 0,NaN,NaN,NaN,NaN
10, QuerVelu, eco3, 3129,0.999,1.000,0.975,0.974
10, QuerVelu, eco4, 1772,0.959,1.000,0.987,0.948
10, QuerVelu, eco5, 6648,0.804,1.000,0.998,0.804
10, QuerStel, eco2, 0,NaN,NaN,NaN,NaN
10, QuerStel, eco3, 3125,0.742,1.000,0.975,0.736
10, QuerStel, eco4, 1785,0.470,1.000,0.987,0.470
10, QuerStel, eco5, 6679,0.076,1.000,0.998,0.076
10, RobiPseu, eco2, 0,NaN,NaN,NaN,NaN
10, RobiPseu, eco3, 462,0.854,1.000,0.972,0.839
10, RobiPseu, eco4, 244,0.724,1.000,0.984,0.722
10, RobiPseu, eco5, 1079,0.538,1.000,0.996,0.538
10, SassAlid, eco2, 0,NaN,NaN,NaN,NaN
10, SassAlid, eco3, 3120,0.857,1.000,0.975,0.843
10, SassAlid, eco4, 1795,0.726,1.000,0.987,0.725
10, SassAlid, eco5, 6666,0.539,1.000,0.998,0.539
10, TiliAmer, eco2, 0,NaN,NaN,NaN,NaN
10, TiliAmer, eco3, 6500,0.003,1.000,0.975,0.003
