   Loading spin-up weather data from file Proc_ashville.csv ...
   Converting raw data from text file: Proc_ashville.csv, Format=daily_temp-c_precip-mmday, Temporal=Daily.
   Loading future weather data from file Proc_ashville.csv ...
   Converting raw data from text file: Proc_ashville.csv, Format=daily_temp-c_precip-mmday, Temporal=Daily.
Core.StartTime = 0, Core.EndTime = 250.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2006, actualYearUsed=2041.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2006, actualYear = 2041, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2007, actualYearUsed=2045.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2007, actualYear = 2045, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2008, actualYearUsed=2050.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2008, actualYear = 2050, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2009, actualYearUsed=2050.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2009, actualYear = 2050, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2010, actualYearUsed=2031.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2010, actualYear = 2031, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2011, actualYearUsed=2095.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2011, actualYear = 2095, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2012, actualYearUsed=2043.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2012, actualYear = 2043, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2013, actualYearUsed=2033.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2013, actualYear = 2033, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2014, actualYearUsed=2020.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2014, actualYear = 2020, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2015, actualYearUsed=2087.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2015, actualYear = 2087, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2016, actualYearUsed=2057.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2016, actualYear = 2057, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2017, actualYearUsed=2038.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2017, actualYear = 2038, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2018, actualYearUsed=2056.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2018, actualYear = 2056, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2019, actualYearUsed=2080.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2019, actualYear = 2080, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2020, actualYearUsed=2099.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2020, actualYear = 2099, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2021, actualYearUsed=2097.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2021, actualYear = 2097, phase = Future_Climate.
  Completed calculations for Future_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2022, actualYearUsed=2068.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2022, actualYear = 2068, phase = Future_Climate.
