Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2006, eco1, 0, 149.32, 12.73, 63, 269, 0, 
2007, eco1, 0, 177.67, 11.5, 83, 291, 0, 
2008, eco1, 0, 145.05, 14.04, 35, 287, 0, 
2009, eco1, 0, 145.05, 14.04, 35, 294, 0, 
2010, eco1, 0, 141.63, 14, 45, 280, 0, 
2011, eco1, 0, 134.25, 13.7, 68, 300, 0, 
2012, eco1, 0, 140.68, 12.68, 77, 263, 0, 
2013, eco1, 0, 141.57, 13.07, 73, 267, 0, 
2014, eco1, 0, 153.77, 14.39, 63, 274, 0, 
2015, eco1, 0, 145.05, 14.04, 35, 289, 0, 
2016, eco1, 0, 139.49, 10.54, 99, 278, 0, 
2017, eco1, 0, 145.17, 12.35, 80, 262, 0, 
2018, eco1, 0, 142.69, 13.78, 82, 291, 0, 
2019, eco1, 0, 176.09, 13.94, 80, 282, 0, 
2020, eco1, 0, 139.96, 13.73, 66, 279, 0, 
2021, eco1, 0, 138.59, 14.1, 73, 275, 0, 
2022, eco1, 0, 141.5, 13.21, 46, 290, 0, 
2023, eco1, 0, 156.26, 12.95, 75, 291, 0, 
2024, eco1, 0, 139.96, 13.73, 66, 279, 0, 
2025, eco1, 0, 155.74, 13.76, 37, 283, 0, 
2026, eco1, 0, 195.39, 11.79, 87, 287, 0, 
2027, eco1, 0, 142.2, 13.76, 79, 290, 0, 
2028, eco1, 0, 172.01, 10.9, 76, 290, 0, 
2029, eco1, 0, 147.7, 11.57, 71, 276, 0, 
2030, eco1, 0, 191.06, 14.13, 48, 291, 0, 
2031, eco1, 0, 139.39, 13.72, 84, 281, 0, 
2032, eco1, 0, 127.27, 13.29, 28, 268, 0, 
2033, eco1, 0, 165.8, 13.23, 66, 286, 0, 
2034, eco1, 0, 160.57, 14.53, 75, 275, 0, 
2035, eco1, 0, 140.1, 12.72, 81, 276, 0, 
2036, eco1, 0, 149.53, 12.29, 79, 287, 0, 
2037, eco1, 0, 141.63, 14, 45, 271, 0, 
