Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3566.7, 12284.5, 0, 2, 1, 
10, -28.6, 3792.2, 11313.5, 262.5, 3.45, 995.7, 
20, 18.9, 4313.8, 10860.3, 233.2, 3.87, 1101.7, 
30, 21.8, 4783, 10292.9, 248.8, 3.51, 1106.1, 
40, -86, 5257.4, 10525.8, 413, 3.48, 1144.8, 
50, -107.2, 5694.8, 10156.5, 434.6, 3.14, 1196.8, 
60, -76.1, 6104.7, 10102.5, 438.1, 3.24, 1204.7, 
70, -72.6, 6451.1, 9737.8, 353.4, 3.06, 1273.5, 
80, 2.5, 6788.6, 9365.2, 358.8, 3.18, 1295.7, 
90, -20.8, 7125, 10104.7, 425.2, 3.69, 1289.8, 
100, 49.4, 7378.6, 9592.9, 360.1, 3.63, 1286.6, 
110, -185.2, 7607.2, 9901.8, 634.9, 3.23, 1282, 
120, -179.3, 7787.2, 9872.9, 617, 3.37, 1283.9, 
130, 53.9, 7987.7, 9971.2, 367.1, 3.68, 1348.5, 
140, 88.6, 8179.4, 9965.8, 383, 3.54, 1347.8, 
150, 35.4, 8333.3, 9560.7, 403.7, 3.75, 1367.1, 
160, 62.6, 8425.9, 9151.2, 429.2, 3.96, 1306.1, 
170, 58.5, 8444.8, 8514.4, 334.8, 3.76, 1287.7, 
180, -142, 8476.2, 8853, 594.1, 3.72, 1244.5, 
190, 68.4, 8461.7, 8372, 330, 3.7, 1219.5, 
200, -109.2, 8461.4, 8605.9, 559.3, 3.76, 1224.2, 
210, 92.5, 8496.8, 8788.4, 357.3, 4.19, 1257.4, 
220, 88, 8525.8, 8548.9, 342, 3.95, 1262.2, 
230, -100.3, 8596.9, 9018.7, 563.1, 3.79, 1311.7, 
240, 162.9, 8634, 8408.7, 257.8, 4.47, 1316.6, 
250, 12.8, 8633.4, 7987.9, 395.7, 3.83, 1281.2, 
