SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
21, 0, 0, 1536, 0, 0, 8, 0, 0, 1553212, 182, 1003, 0, 
22, 0, 0, 1530, 0, 0, 8, 0, 0, 1493774, 151, 1026, 0, 
23, 0, 0, 1533, 0, 0, 8, 0, 0, 1800754, 61, 1102, 0, 
24, 0, 0, 1528, 0, 0, 8, 0, 0, 1315272, 130, 1047, 0, 
25, 0, 0, 1528, 0, 0, 8, 0, 0, 1948204, 61, 1122, 0, 
26, 0, 0, 1530, 0, 0, 8, 0, 0, 1760816, 42, 1118, 0, 
27, 0, 0, 1532, 0, 0, 8, 0, 0, 1664924, 131, 1063, 0, 
28, 0, 0, 1530, 0, 0, 8, 0, 0, 1585462, 113, 1055, 0, 
29, 0, 0, 1528, 0, 0, 8, 0, 0, 1611096, 90, 1092, 0, 
30, 0, 0, 1529, 0, 0, 8, 0, 0, 1800950, 29, 1131, 0, 
31, 0, 0, 1528, 0, 0, 8, 0, 0, 1756396, 186, 974, 0, 
32, 0, 0, 1533, 0, 0, 8, 0, 0, 1829430, 103, 1101, 0, 
33, 0, 0, 1529, 0, 0, 8, 0, 0, 1786782, 127, 1063, 0, 
34, 0, 0, 1529, 0, 0, 8, 0, 0, 1528060, 145, 1043, 0, 
35, 0, 0, 1529, 0, 0, 8, 0, 0, 1376205, 129, 1011, 0, 
36, 0, 0, 1530, 0, 0, 8, 0, 0, 1306432, 143, 1035, 0, 
37, 0, 0, 1528, 0, 0, 8, 0, 0, 1368369, 199, 971, 0, 
38, 0, 0, 1528, 0, 0, 8, 0, 0, 1553310, 198, 1020, 0, 
39, 0, 0, 1531, 0, 0, 8, 0, 0, 1967296, 44, 1134, 0, 
40, 0, 0, 1531, 0, 0, 8, 0, 0, 1603438, 91, 1094, 0, 
41, 0, 0, 1528, 0, 0, 8, 0, 0, 1473522, 208, 964, 0, 
42, 0, 0, 1529, 0, 0, 8, 0, 0, 1612516, 164, 1013, 0, 
43, 0, 0, 1531, 0, 0, 8, 0, 0, 1983808, 87, 1107, 0, 
44, 0, 0, 1534, 0, 0, 8, 0, 0, 1786582, 134, 1036, 0, 
45, 0, 0, 1534, 0, 0, 8, 0, 0, 1367742, 169, 1009, 0, 
46, 0, 0, 1528, 0, 0, 8, 0, 0, 1931283, 96, 1075, 0, 
47, 0, 0, 1528, 0, 0, 8, 0, 0, 1732891, 147, 1003, 0, 
48, 0, 0, 1529, 0, 0, 8, 0, 0, 1649141, 93, 1071, 0, 
49, 0, 0, 1529, 0, 0, 8, 0, 0, 1340299, 215, 974, 0, 
50, 0, 0, 1528, 0, 0, 8, 0, 0, 1754481, 83, 1097, 0, 
51, 0, 0, 1534, 0, 0, 8, 0, 0, 1632824, 88, 1098, 0, 
52, 0, 0, 1530, 0, 0, 8, 0, 0, 1318954, 213, 968, 0, 
53, 0, 0, 1532, 0, 0, 8, 0, 0, 1933440, 83, 1076, 0, 
54, 0, 0, 1528, 0, 0, 8, 0, 0, 1988019, 18, 1147, 0, 
55, 0, 0, 1531, 0, 0, 8, 0, 0, 1395725, 189, 1024, 0, 
56, 0, 0, 1529, 0, 0, 8, 0, 0, 1160195, 258, 917, 0, 
57, 0, 0, 1531, 0, 0, 8, 0, 0, 2019963, 40, 1122, 0, 
58, 0, 0, 1531, 0, 0, 8, 0, 0, 1562781, 138, 1039, 0, 
59, 0, 0, 1533, 0, 0, 8, 0, 0, 1595978, 151, 1029, 0, 
60, 0, 0, 1529, 0, 0, 8, 0, 0, 1507282, 128, 1040, 0, 
61, 0, 0, 1531, 0, 0, 8, 0, 0, 2007578, 12, 1146, 0, 
62, 0, 0, 1534, 0, 0, 8, 0, 0, 1662423, 212, 970, 0, 
63, 0, 0, 1528, 0, 0, 8, 0, 0, 1315995, 320, 885, 0, 
64, 0, 0, 1531, 0, 0, 8, 0, 0, 1669397, 65, 1096, 0, 
65, 0, 0, 1530, 0, 0, 8, 0, 0, 1719867, 35, 1139, 0, 
66, 0, 0, 1530, 0, 0, 8, 0, 0, 1267446, 243, 933, 0, 
67, 0, 0, 1531, 0, 0, 8, 0, 0, 1506258, 80, 1065, 0, 
68, 0, 0, 1529, 0, 0, 8, 0, 0, 1549288, 100, 1082, 0, 
69, 0, 0, 1531, 0, 0, 8, 0, 0, 1950892, 158, 1028, 0, 
70, 0, 0, 1530, 0, 0, 8, 0, 0, 1162014, 172, 1033, 0, 
71, 0, 0, 1529, 0, 0, 8, 0, 0, 1317275, 302, 869, 0, 
72, 0, 0, 1530, 0, 0, 8, 0, 0, 1592621, 367, 822, 0, 
73, 0, 0, 1530, 0, 0, 8, 0, 0, 1264373, 324, 836, 0, 
74, 0, 0, 1530, 0, 0, 8, 0, 0, 2061328, 33, 1129, 0, 
75, 0, 0, 1529, 0, 0, 8, 0, 0, 1178786, 228, 979, 0, 
76, 0, 0, 1531, 0, 0, 8, 0, 0, 954374, 388, 759, 0, 
77, 0, 0, 1530, 0, 0, 8, 0, 0, 2263287, 28, 1178, 0, 
78, 0, 0, 1533, 0, 0, 8, 0, 0, 1664726, 170, 1003, 0, 
79, 0, 0, 1532, 0, 0, 8, 0, 0, 1798855, 65, 1113, 0, 
80, 0, 0, 1532, 0, 0, 8, 0, 0, 1013624, 136, 1016, 0, 
81, 0, 0, 1532, 0, 0, 8, 0, 0, 1861402, 111, 1056, 0, 
82, 0, 0, 1531, 0, 0, 8, 0, 0, 1718990, 62, 1074, 0, 
83, 0, 0, 1530, 0, 0, 8, 0, 0, 1363736, 183, 977, 0, 
84, 0, 0, 1530, 0, 0, 8, 0, 0, 972766, 320, 834, 0, 
85, 0, 0, 1533, 0, 0, 8, 0, 0, 1591491, 222, 978, 0, 
86, 0, 0, 1529, 0, 0, 8, 0, 0, 1611714, 87, 1083, 0, 
87, 0, 0, 1530, 0, 0, 8, 0, 0, 1063079, 151, 1015, 0, 
88, 0, 0, 1532, 0, 0, 8, 0, 0, 1224793, 188, 984, 0, 
89, 0, 0, 1533, 0, 0, 8, 0, 0, 1363703, 82, 1078, 0, 
90, 0, 0, 1530, 0, 0, 8, 0, 0, 1018427, 214, 974, 0, 
91, 0, 0, 1531, 0, 0, 8, 0, 0, 985476, 355, 840, 0, 
92, 0, 0, 1533, 0, 0, 8, 0, 0, 1529064, 143, 1029, 0, 
93, 0, 0, 1532, 0, 0, 8, 0, 0, 1641063, 154, 997, 0, 
94, 0, 0, 1533, 0, 0, 8, 0, 0, 1401030, 146, 1031, 0, 
95, 0, 0, 1529, 0, 0, 8, 0, 0, 1389667, 243, 938, 0, 
96, 0, 0, 1530, 0, 0, 8, 0, 0, 1051405, 198, 964, 0, 
97, 0, 0, 1531, 0, 0, 8, 0, 0, 1509958, 300, 887, 0, 
98, 0, 0, 1530, 0, 0, 8, 0, 0, 1097767, 262, 907, 0, 
99, 0, 0, 1529, 0, 0, 8, 0, 0, 1551555, 45, 1131, 0, 
100, 0, 0, 1531, 0, 0, 8, 0, 0, 1597277, 15, 1164, 0, 
101, 0, 0, 1529, 0, 0, 8, 0, 0, 1476442, 171, 998, 0, 
102, 0, 0, 1528, 0, 0, 8, 0, 0, 1191883, 257, 910, 0, 
103, 0, 0, 1529, 0, 0, 8, 0, 0, 1434151, 217, 968, 0, 
104, 0, 0, 1534, 0, 0, 8, 0, 0, 1400269, 72, 1142, 0, 
105, 0, 0, 1531, 0, 0, 8, 0, 0, 1434311, 37, 1144, 0, 
106, 0, 0, 1529, 0, 0, 8, 0, 0, 861107, 314, 877, 0, 
107, 0, 0, 1530, 0, 0, 8, 0, 0, 755610, 423, 754, 0, 
108, 0, 0, 1533, 0, 0, 8, 0, 0, 1374462, 65, 1117, 0, 
109, 0, 0, 1531, 0, 0, 8, 0, 0, 1343306, 200, 974, 0, 
110, 0, 0, 1531, 0, 0, 8, 0, 0, 640398, 265, 957, 0, 
111, 0, 0, 1528, 0, 0, 8, 0, 0, 827553, 258, 936, 0, 
112, 0, 0, 1529, 0, 0, 8, 0, 0, 886609, 130, 1053, 0, 
113, 0, 0, 1529, 0, 0, 8, 0, 0, 815644, 284, 904, 0, 
114, 0, 0, 1530, 0, 0, 8, 0, 0, 1252129, 201, 991, 0, 
115, 0, 0, 1530, 0, 0, 8, 0, 0, 1012731, 271, 914, 0, 
116, 0, 0, 1530, 0, 0, 8, 0, 0, 1413286, 79, 1090, 0, 
117, 0, 0, 1528, 0, 0, 8, 0, 0, 1191481, 93, 1075, 0, 
118, 0, 0, 1531, 0, 0, 8, 0, 0, 995733, 107, 1054, 0, 
119, 0, 0, 1528, 0, 0, 8, 0, 0, 731779, 235, 934, 0, 
120, 0, 0, 1529, 0, 0, 8, 0, 0, 660971, 175, 1010, 0, 
121, 0, 0, 1528, 0, 0, 8, 0, 0, 704324, 139, 1012, 0, 
122, 0, 0, 1533, 0, 0, 8, 0, 0, 927917, 344, 833, 0, 
123, 0, 0, 1531, 0, 0, 8, 0, 0, 775773, 190, 1001, 0, 
124, 0, 0, 1531, 0, 0, 8, 0, 0, 713862, 256, 938, 0, 
125, 0, 0, 1531, 0, 0, 8, 0, 0, 671945, 162, 1016, 0, 
126, 0, 0, 1529, 0, 0, 8, 0, 0, 788145, 74, 1081, 0, 
127, 0, 0, 1533, 0, 0, 8, 0, 0, 810165, 325, 880, 0, 
128, 0, 0, 1530, 0, 0, 8, 0, 0, 448022, 272, 917, 0, 
129, 0, 0, 1530, 0, 0, 8, 0, 0, 776893, 111, 1055, 0, 
130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
