SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 0, 0, 1529, 0, 0, 8, 0, 0, 1038828, 1158, 0, 0, 
2, 0, 0, 1533, 0, 0, 8, 0, 0, 1164847, 1168, 7, 0, 
3, 0, 0, 1529, 0, 0, 8, 0, 0, 1158731, 1115, 71, 0, 
4, 0, 0, 1532, 0, 0, 8, 0, 0, 1228486, 1097, 100, 0, 
5, 0, 0, 1532, 0, 0, 8, 0, 0, 1317772, 922, 265, 0, 
6, 0, 0, 1531, 0, 0, 8, 0, 0, 1230265, 906, 256, 0, 
7, 0, 0, 1528, 0, 0, 8, 0, 0, 1396327, 846, 326, 0, 
8, 0, 0, 1530, 0, 0, 8, 0, 0, 1242684, 1016, 134, 0, 
9, 0, 0, 1530, 0, 0, 8, 0, 0, 1217068, 1059, 137, 0, 
10, 0, 0, 1532, 0, 0, 8, 0, 0, 1086577, 894, 278, 0, 
11, 0, 0, 1530, 0, 0, 8, 0, 0, 2072913, 155, 1024, 0, 
12, 0, 0, 1530, 0, 0, 8, 0, 0, 1977409, 26, 1134, 0, 
13, 0, 0, 1530, 0, 0, 8, 0, 0, 2040649, 33, 1126, 0, 
14, 0, 0, 1533, 0, 0, 8, 0, 0, 2130866, 19, 1137, 0, 
15, 0, 0, 1529, 0, 0, 8, 0, 0, 2169289, 39, 1130, 0, 
16, 0, 0, 1530, 0, 0, 8, 0, 0, 1585497, 64, 1119, 0, 
17, 0, 0, 1529, 0, 0, 8, 0, 0, 1845276, 41, 1129, 0, 
18, 0, 0, 1530, 0, 0, 8, 0, 0, 2045074, 29, 1129, 0, 
19, 0, 0, 1529, 0, 0, 8, 0, 0, 1786045, 23, 1150, 0, 
20, 0, 0, 1530, 0, 0, 8, 0, 0, 1889077, 48, 1140, 0, 
