EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
761, 96, 587, 637, 10.7887429249553, 71, Rx, 1, 191, 947, 16.2298227015706, 18.1282665507336, 144.188481675393, 0, 11.97, 0.994764397905759, 1.53, 80727, 14, 139, 0, 
762, 96, 547, 562, 18.8639992901536, 73, Rx, 1, 191, 1819, 16.8699367790576, 16.6056031613757, 132.879581151832, 0, 12.91, 0.994764397905759, 1.45, 184506, 5, 136, 0, 
763, 96, 459, 709, 24.6585431438254, 79, Rx, 1, 191, 1755, 21.3319098848168, 19.2499459246634, 146.073298429319, 0, 19.7, 0.994764397905759, 1.34, 136712, 55, 100, 0, 
764, 96, 500, 622, 17.7308472942427, 80, Rx, 1, 191, 3041, 14.7892980628273, 11.7617105968464, 132.879581151832, 0, 13.09, 0.994764397905759, 1.48, 193878, 0, 141, 0, 
765, 96, 603, 672, 17.0947544381888, 81, Rx, 1, 191, 469, 12.448367053822, 13.0221277528861, 136.649214659686, 0, 13.3, 0.994764397905759, 1.12, 64750, 76, 69, 0, 
766, 96, 536, 767, 21.9570100253091, 82, Rx, 1, 192, 1649, 14.658344625, 16.2238707594465, 133.125, 0, 15.69, 0.994791666666667, 1.48, 221984, 0, 142, 0, 
767, 96, 610, 642, 25.6122052486458, 83, Rx, 1, 192, 1809, 22.240846603125, 21.7741364517821, 135, 0, 19.38, 0.994791666666667, 1.46, 119852, 7, 137, 0, 
768, 96, 585, 526, 19.8673280816883, 84, Rx, 1, 191, 542, 13.5031041442932, 14.8878182509675, 132.879581151832, 0, 15.05, 0.994764397905759, 1.26, 48996, 41, 100, 0, 
769, 97, 473, 779, 13.2847958786724, 71, Rx, 1, 191, 126, 6.3676688965445, 6.56367915291938, 144.188481675393, 0, 9.71, 0.994764397905759, 0.88, 7159, 137, 16, 0, 
770, 97, 513, 739, 23.2173969515547, 72, Rx, 1, 193, 4201, 13.0907559115026, 15.447600304112, 142.694300518135, 0, 13.31, 0.994818652849741, 1.58, 414293, 1, 152, 0, 
