Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
20, eco4, 3, 6583, 28.9, 1468.1, 3751.8, 112.1, 14.1, 49.4, 64.9, 4.82, 167.3, 6.3, 29.7, 5.6, 1679.9, 179.6, 383.7, 43.5, 272.5, 55.3, 38.1, 5.5, 33.8, 39, 278.3, 1117, 0.7, 0.1, 7.1, 1.8, 1.9, 0.5, 1.4, 1.6, 0.2, 0.3, 1, 4.6, 9.1, 132.4, 0, -0.4, 0, 0, 1.4, 2.8, -1.5, 0, 28.17, 0.17, 0.28, 57, 0.7, 2.1, 1, 155.2, 3.24, 0, 
20, eco5, 4, 14637, 84, 2030.4, 4125.2, 56, 10.8, 23.6, 67, 5.51, 229, 5.9, 45.2, 9, 1770.2, 197, 476.1, 54.1, 194.7, 26.2, 30.3, 4.2, 33.5, 42.5, 335, 1619.3, 0.9, 0.2, 7.1, 1.9, 2.1, 0.6, 1, 0.7, 0.2, 0.2, 0.5, 5, 11.3, 191.7, 0, -0.2, 0, 0, 0.7, 3.2, -1.6, 0, 27.57, 0.22, 0.63, 49.2, 0.5, 0.8, 0.3, 216.1, 4.2, 0, 
30, eco2, 1, 10, 14.7, 1059.7, 61.2, 0, 0, 0, 0, 4.45, 127, 0.9, 0, 0, 0, 0, 16.2, 2.4, 53.8, 0.1, 9.3, 0, 1.6, 7.3, 48.6, 1002.2, 0, 0, 0, 0, 0.1, 0, 0.3, 0, 0, 0, 0, 0.9, 2.3, 118.9, 0, 0, 0, 0, 0, 0.5, -0.1, 0, 30.79, 0.02, 0.28, 0, 0, 0, 0, 126.9, 3.6, 0, 
30, eco3, 2, 9902, 78, 1632.3, 6092.4, 125.5, 14, 52.8, 105.7, 4.55, 184.1, 8.2, 26.4, 4.5, 2768.9, 287.5, 564.5, 61.3, 532.2, 100.3, 80.8, 8.4, 55.7, 48.9, 360.3, 1167.3, 0.7, 0.1, 11.7, 2.7, 2.8, 0.6, 2.7, 2.8, 0.4, 0.4, 1.9, 5.6, 8.7, 138.5, 0, -0.7, 0, 0, 2.6, 3.1, -2.6, 0, 28.37, 0.1, 0.37, 117.2, 1.3, 2.3, 1, 165.5, 2.96, 0, 
30, eco4, 3, 6583, 50, 1432.3, 3914, 81.2, 9.7, 36, 66.3, 4.35, 164.6, 5.4, 21, 4.1, 1737.6, 184.7, 369.8, 41.7, 354.3, 70.8, 52.9, 6.4, 37.4, 33.6, 241.8, 1119.5, 0.4, 0.1, 7.2, 1.7, 1.8, 0.4, 1.8, 2, 0.3, 0.3, 1.3, 3.8, 6.4, 132.8, 0, -0.4, 0, 0, 1.7, 2, -1.5, 0, 28.58, 0.06, 0.22, 56, 0.6, 1.6, 0.7, 153, 2.96, 0, 
30, eco5, 4, 14637, 15.5, 1944.4, 3652.9, 103.9, 13.1, 45.1, 63.6, 3.9, 222.3, 4.9, 32.7, 6.5, 1586.4, 177.4, 406.8, 46.3, 279, 52.4, 45, 5.9, 34.7, 32.7, 255.3, 1621.6, 0.7, 0.2, 6.6, 1.7, 1.9, 0.5, 1.4, 1.5, 0.2, 0.3, 1, 3.8, 6.8, 192.1, 0, -0.3, 0, 0, 1.2, 2.2, -1.6, 0, 28.25, 0.08, 0.45, 64.7, 0.6, 2, 0.8, 210.8, 2.67, 0, 
40, eco2, 1, 10, 7.8, 1024.5, 14.4, 0, 0, 0, 0, 4.16, 124.6, 0.4, 0, 0, 0, 0, 10, 0.8, 28, 1.8, 7.8, 0.1, 1.2, 2.7, 18, 1002.6, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0.3, 0.8, 119, 0, 0, 0, 0, 0.1, 0.2, -0.1, 0, 17.14, 0.01, 0.34, 35.4, 0.3, 0, 0, 124.6, 3.36, 0, 
40, eco3, 2, 9902, -27.3, 1647.2, 6155.3, 231.5, 25.2, 104.2, 109.6, 3.85, 184.4, 8.4, 27.5, 5, 2844, 294.6, 585, 62.8, 570.5, 101, 96.4, 8.9, 55.6, 50.1, 370.4, 1171, 0.7, 0.1, 11.9, 2.7, 2.9, 0.6, 2.9, 2.8, 0.5, 0.5, 1.7, 5.7, 8.6, 139, 0.1, -0.6, 0, 0, 2.3, 3.5, -2.7, 0, 28.94, 0.2, 0.47, 138, 1.5, 3.6, 2.4, 165.5, 2.31, 0, 
40, eco4, 3, 6583, 45.9, 1442.3, 3949.5, 85, 10.8, 38.6, 67.5, 4.06, 164.5, 5.1, 24.6, 4.8, 1777.3, 188.8, 389.3, 43.4, 392.7, 59.2, 64.1, 5.5, 36.5, 34.1, 249.9, 1121.8, 0.5, 0.1, 7.2, 1.8, 1.9, 0.5, 2, 1.7, 0.3, 0.3, 1.1, 3.9, 6.1, 133.1, 0, -0.4, 0, 0, 1.4, 2.1, -1.7, 0, 29.06, 0.09, 0.42, 78.4, 0.9, 1.7, 0.7, 152.5, 2.84, 0, 
40, eco5, 4, 14637, 48.8, 1903.8, 3103.4, 45.8, 8.7, 20, 51.4, 3.8, 218.3, 3.6, 36, 7.2, 1331.2, 152.4, 362.7, 42.3, 285.8, 29.9, 52.1, 4.3, 28.3, 28.5, 223.4, 1623.5, 0.7, 0.2, 5.5, 1.5, 1.7, 0.4, 1.4, 0.9, 0.3, 0.2, 0.6, 3.3, 5.6, 192.4, 0, -0.2, 0, 0, 0.7, 1.8, -1.4, 0, 28.49, 0.16, 0.88, 82.8, 0.9, 0.7, 0.3, 208.4, 3.05, 0, 
