Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,TotalCohortsHarvested,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
10, 4, FarmClearings, 35800512, 59, 30, 209, 46, 40, 1121, 0, 10, 90, 0, 2, 29, 0, 11, 18, 33, 0, 0, 18, 19, 104, 1, 0, 0, 89, 4, 0, 32, 96, 0, 14, 0, 0, 0, 0, 5, 0, 0, 0, 0, 61, 32, 0, 63, 149, 31, 0, 0, 0, 0, 0, 0, 0, 0, 210, 
10, 4, FarmClearings, 31503024, 67, 36, 156, 507, 431, 12333, 0, 183, 1386, 17, 35, 332, 0, 101, 125, 388, 5, 55, 164, 251, 984, 25, 0, 0, 1311, 56, 134, 154, 1062, 97, 386, 0, 1, 2, 0, 11, 0, 0, 0, 0, 484, 253, 0, 743, 790, 245, 4, 0, 0, 0, 0, 0, 0, 28, 2521, 
10, 4, FarmClearings, 31700410, 21, 24, 532, 9, 8, 162, 0, 1, 21, 0, 0, 4, 0, 1, 0, 8, 0, 0, 5, 0, 16, 0, 0, 0, 10, 0, 0, 4, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 0, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 
10, 4, FarmClearings, 36102320, 24, 30, 515, 24, 21, 398, 0, 0, 50, 0, 7, 11, 0, 5, 0, 13, 0, 3, 14, 2, 37, 0, 0, 0, 57, 2, 0, 9, 29, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 0, 10, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87, 
10, 4, FarmClearings, 31500569, 83, 35, 12, 72, 62, 1264, 0, 21, 158, 0, 7, 14, 0, 23, 5, 60, 0, 3, 21, 11, 102, 0, 0, 0, 169, 1, 3, 34, 152, 7, 19, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 39, 0, 46, 41, 5, 0, 0, 0, 0, 0, 0, 0, 2, 316, 
10, 4, FarmClearings, 36100506, 10, 30, 653, 8, 7, 183, 0, 2, 18, 0, 0, 9, 0, 6, 0, 9, 0, 0, 4, 1, 13, 0, 0, 0, 17, 3, 0, 5, 24, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 8, 7, 0, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 
10, 4, FarmClearings, 31500514, 38, 31, 377, 8, 7, 156, 0, 2, 19, 0, 0, 7, 0, 0, 0, 8, 0, 0, 0, 0, 9, 0, 0, 0, 16, 0, 0, 3, 18, 3, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 8, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 
10, 4, FarmClearings, 47700668, 1, 25, 747, 18, 16, 323, 2, 4, 36, 0, 0, 10, 0, 8, 0, 12, 0, 0, 14, 0, 36, 0, 0, 0, 24, 0, 0, 8, 42, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12, 8, 0, 16, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 
10, 4, FarmClearings, 36100656, 51, 30, 278, 8, 7, 127, 0, 0, 17, 0, 0, 2, 0, 0, 1, 5, 0, 1, 4, 1, 16, 0, 0, 0, 6, 2, 0, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 
10, 4, FarmClearings, 35800661, 33, 32, 416, 8, 7, 193, 0, 3, 22, 0, 0, 9, 0, 4, 3, 8, 0, 0, 6, 4, 16, 1, 0, 0, 18, 1, 0, 4, 19, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9, 1, 0, 7, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 
10, 4, FarmClearings, 47700828, 14, 33, 593, 41, 35, 761, 0, 16, 89, 0, 0, 5, 0, 25, 0, 32, 0, 2, 17, 0, 65, 0, 0, 0, 46, 3, 0, 18, 92, 2, 5, 0, 0, 1, 1, 3, 0, 0, 0, 0, 42, 6, 0, 38, 84, 1, 0, 0, 0, 0, 0, 0, 0, 0, 168, 
10, 4, FarmClearings, 36100757, 4, 32, 730, 8, 7, 176, 0, 0, 16, 0, 0, 7, 0, 5, 0, 3, 0, 4, 5, 0, 15, 0, 0, 0, 24, 2, 0, 4, 17, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 
10, 4, FarmClearings, 35800765, 65, 35, 161, 28, 24, 611, 3, 2, 61, 0, 7, 19, 0, 2, 1, 27, 0, 0, 29, 17, 47, 0, 0, 0, 62, 1, 0, 14, 50, 8, 12, 0, 0, 0, 0, 1, 0, 0, 0, 0, 22, 5, 0, 37, 63, 1, 0, 0, 0, 0, 0, 0, 0, 0, 120, 
10, 4, FarmClearings, 35800860, 25, 33, 492, 26, 23, 651, 0, 11, 59, 0, 16, 14, 0, 3, 0, 29, 0, 0, 22, 4, 45, 0, 0, 0, 74, 0, 0, 20, 66, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 31, 28, 0, 27, 59, 1, 0, 0, 0, 0, 0, 0, 0, 0, 139, 
10, 4, FarmClearings, 31203024, 61, 36, 199, 254, 216, 5002, 11, 63, 655, 6, 0, 95, 0, 9, 19, 165, 3, 0, 25, 113, 436, 11, 0, 0, 706, 12, 101, 45, 279, 15, 278, 0, 6, 1, 0, 7, 0, 0, 0, 0, 102, 27, 0, 309, 90, 101, 0, 0, 2, 0, 0, 0, 0, 23, 1287, 
10, 4, FarmClearings, 35600961, 37, 30, 393, 16, 14, 432, 2, 4, 39, 0, 18, 17, 0, 12, 8, 10, 0, 7, 5, 1, 26, 1, 0, 0, 32, 0, 0, 7, 37, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 29, 24, 0, 22, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 
10, 4, FarmClearings, 46601027, 16, 26, 578, 23, 20, 509, 0, 6, 33, 0, 7, 26, 0, 14, 0, 19, 0, 10, 1, 3, 37, 0, 0, 0, 20, 0, 0, 10, 44, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 31, 19, 0, 23, 104, 21, 0, 0, 0, 0, 0, 0, 0, 0, 75, 
10, 4, FarmClearings, 47802320, 12, 41, 624, 246, 210, 6585, 7, 85, 795, 0, 11, 353, 0, 57, 199, 180, 0, 3, 24, 165, 552, 0, 0, 0, 875, 26, 114, 98, 442, 16, 98, 0, 0, 5, 0, 5, 0, 0, 0, 0, 158, 0, 0, 383, 366, 163, 1, 0, 7, 0, 0, 0, 0, 26, 1371, 
10, 4, FarmClearings, 46601189, 34, 33, 404, 53, 46, 1265, 0, 12, 111, 0, 19, 12, 0, 21, 10, 36, 0, 5, 0, 22, 81, 0, 0, 0, 100, 4, 0, 24, 103, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 80, 54, 0, 79, 210, 28, 0, 0, 0, 0, 0, 0, 0, 4, 246, 
10, 4, FarmClearings, 46601116, 20, 25, 534, 17, 15, 294, 0, 0, 26, 0, 14, 19, 0, 11, 0, 7, 0, 2, 0, 3, 7, 0, 0, 0, 6, 0, 0, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 0, 18, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 
10, 4, FarmClearings, 47602320, 60, 42, 206, 252, 215, 6489, 31, 81, 714, 0, 116, 358, 0, 167, 154, 158, 0, 0, 52, 147, 536, 0, 0, 0, 685, 11, 29, 86, 511, 24, 25, 0, 0, 0, 0, 21, 0, 0, 0, 0, 138, 33, 0, 367, 498, 241, 0, 0, 0, 0, 0, 0, 0, 18, 1288, 
10, 4, FarmClearings, 35601240, 26, 25, 488, 18, 16, 267, 0, 0, 32, 0, 8, 20, 0, 7, 0, 8, 0, 0, 0, 0, 14, 0, 0, 0, 16, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 19, 0, 16, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 
10, 4, FarmClearings, 46801172, 66, 34, 158, 7, 6, 235, 0, 6, 22, 0, 13, 0, 0, 9, 0, 5, 0, 0, 2, 12, 19, 0, 0, 0, 15, 2, 0, 3, 17, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 10, 10, 0, 16, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 
10, 4, FarmClearings, 31103024, 50, 34, 289, 30, 26, 729, 24, 21, 113, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 31, 31, 0, 0, 0, 103, 0, 21, 13, 79, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 162, 
10, 4, FarmClearings, 46601460, 49, 31, 293, 72, 62, 1291, 5, 6, 118, 2, 20, 57, 0, 31, 0, 50, 0, 8, 10, 8, 94, 2, 0, 0, 62, 3, 0, 23, 101, 2, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 97, 46, 0, 75, 188, 19, 0, 0, 0, 0, 0, 0, 0, 0, 258, 
10, 4, FarmClearings, 46601322, 36, 31, 394, 8, 7, 206, 0, 4, 18, 0, 4, 1, 0, 7, 0, 6, 0, 0, 8, 3, 6, 0, 0, 0, 11, 0, 0, 6, 20, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 12, 0, 12, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 
10, 4, FarmClearings, 35801392, 17, 17, 571, 13, 12, 202, 0, 0, 21, 0, 0, 9, 0, 0, 0, 8, 0, 1, 3, 8, 14, 0, 0, 0, 11, 0, 0, 8, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 0, 10, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 
10, 4, FarmClearings, 46601387, 79, 25, 39, 9, 8, 190, 2, 3, 17, 0, 0, 0, 0, 8, 0, 5, 0, 0, 2, 5, 17, 0, 0, 0, 12, 0, 0, 6, 16, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 15, 0, 0, 16, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 
10, 4, FarmClearings, 46602320, 13, 39, 623, 84, 72, 1781, 9, 2, 214, 0, 21, 79, 0, 23, 64, 48, 0, 2, 25, 24, 140, 0, 0, 0, 218, 8, 16, 14, 141, 4, 8, 0, 0, 0, 0, 6, 0, 0, 0, 0, 40, 10, 0, 81, 130, 34, 0, 0, 0, 0, 0, 0, 0, 8, 412, 
10, 4, FarmClearings, 46601503, 55, 31, 219, 23, 20, 458, 0, 15, 62, 5, 0, 4, 0, 0, 4, 23, 0, 0, 1, 0, 32, 0, 0, 0, 60, 0, 0, 12, 60, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 3, 0, 19, 27, 1, 0, 0, 0, 0, 0, 0, 0, 4, 115, 
10, 4, FarmClearings, 46601658, 48, 30, 294, 26, 23, 650, 6, 1, 74, 0, 0, 21, 0, 4, 6, 25, 0, 0, 6, 14, 53, 0, 0, 0, 85, 4, 7, 8, 56, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 38, 63, 14, 0, 0, 1, 0, 0, 0, 0, 2, 138, 
